Movie,LeadStudio,AudienceScore,Genre,Year,Id
Spider-Man 3,Sony,54,Action,2007,1
Shrek the Third,Paramount,57,Animation,2007,2
Transformers,Paramount,89,Action,2007,3
Pirates of the Caribbean: At World's End,Disney,74,Action,2007,4
Harry Potter and the Order of the Phoenix,Warner Bros,82,Adventure,2007,5
I Am Legend,Warner Bros,69,Thriller,2007,6
The Bourne Ultimatum,Universal,91,Thriller,2007,7
National Treasure: Book of Secrets,Disney,72,Thriller,2007,8
Alvin and the Chipmunks,Fox,73,Animation,2007,9
300,Warner Bros,90,Action,2007,10
Ratatouille,Disney,84,Animation,2007,11
The Simpsons Movie,Fox,78,Comedy,2007,12
Wild Hogs,Disney,72,Comedy,2007,13
Knocked Up,Universal,83,Comedy,2007,14
Juno,Fox,89,Comedy,2007,15
Rush Hour 3,Warner Bros,68,Action,2007,16
Live Free or Die Hard,Fox,86,Action,2007,17
Fantastic Four: Rise of the Silver Surfer,Fox,55,Action,2007,18
American Gangster,Universal,87,Thriller,2007,19
Enchanted,Disney,80,Comedy,2007,20
Bee Movie,Paramount,57,Animation,2007,21
Superbad,Sony,87,Comedy,2007,22
I Now Pronounce You Chuck and Larry,Universal,73,Comedy,2007,23
Hairspray,Warner Bros,84,Musical,2007,24
Blades of Glory,Paramount,66,Comedy,2007,25
Ocean's 13,Warner Bros,74,Thriller,2007,26
Ghost Rider,Sony,56,Action,2007,27
Evan Almighty,Universal,56,Comedy,2007,28
Meet the Robinsons,Disney,75,Animation,2007,29
Norbit,Paramount,56,Comedy,2007,30
The Bucket List,Warner Bros,81,Drama,2007,31
The Game Plan,Disney,75,Comedy,2007,32
Beowulf,Paramount,52,Action,2007,33
Disturbia,Paramount,75,Thriller,2007,34
No Country for Old Men,Paramount,84,Drama,2007,35
The Golden Compass,Warner Bros,55,Action,2007,36
Charlie Wilson's War,Universal,73,Biography,2007,37
Saw IV,Independent,70,Horror,2007,38
Stomp the Yard,Independent,83,Musical,2007,39
Surf's Up,Sony,64,Animation,2007,40
Halloween,Weinstein,64,Horror,2007,41
Tyler Perry's Why Did I get Married,Independent,47,Romance,2007,42
TMNT,Universal,63,Action,2007,43
P.S. I Love You,Independent,82,Romance,2007,44
3:10 to Yuma,Lionsgate,85,Adventure,2007,45
Sweeney Todd: The Demon Barber of Fleet Street,Warner Bros,81,Musical,2007,46
Music and Lyrics,Warner Bros,70,Romance,2007,47
Michael Clayton,Independent,72,Thriller,2007,48
Premonition,Sony,55,Drama,2007,49
The Kingdom,Universal,78,Action,2007,50
Shooter,Paramount,82,Action,2007,51
License to Wed,Warner Bros,55,Comedy,2007,52
No Reservations,Universal,64,Comedy,2007,53
Alien vs. Predator -- Requiem,Fox,37,Horror,2007,54
There Will Be Blood,Paramount,84,Drama,2007,55
Epic Movie,Independent,38,Comedy,2007,56
Hitman,Fox,61,Action,2007,57
30 Days of Night,Independent,57,Horror,2007,58
Stardust,Paramount,86,Adventure,2007,59
The Brave One,Universal,65,Action,2007,60
